

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    89.00000 -0.150734E+02  0.695438E+01 -0.150765E+02  0.695438E+01 -0.218149E+01   -288.048   -266.108   -214.308      89
    90.00000 -0.151234E+02  0.709094E+01 -0.151265E+02  0.709094E+01 -0.232299E+01   -285.693   -272.080   -216.827      90
    91.00000 -0.151934E+02  0.722796E+01 -0.151965E+02  0.722796E+01 -0.245775E+01   -286.024   -276.496   -220.747      91
    92.00000 -0.152514E+02  0.746043E+01 -0.152545E+02  0.746043E+01 -0.258438E+01   -304.532   -291.389   -225.128      92
    93.00000 -0.153314E+02  0.771777E+01 -0.153345E+02  0.771777E+01 -0.270235E+01   -319.610   -307.029   -229.683      93
    94.00000 -0.154714E+02  0.779137E+01 -0.154745E+02  0.779137E+01 -0.281138E+01   -290.043   -294.319   -234.402      94
    95.00000 -0.154194E+02  0.803729E+01 -0.154236E+02  0.803729E+01 -0.291026E+01   -361.390   -323.777   -239.194      95
    96.00000 -0.153848E+02  0.833153E+01 -0.153893E+02  0.833153E+01 -0.300023E+01   -417.258   -360.482   -244.607      96
    97.00000 -0.155848E+02  0.860294E+01 -0.155893E+02  0.860294E+01 -0.308624E+01   -344.120   -356.830   -250.408      97
    98.00000 -0.155848E+02  0.879333E+01 -0.155888E+02  0.879333E+01 -0.316749E+01   -416.559   -379.542   -256.205      98
    99.00000 -0.155620E+02  0.908218E+01 -0.155669E+02  0.908218E+01 -0.324390E+01   -488.025   -417.524   -262.054      99
   100.00000 -0.155620E+02  0.937698E+01 -0.155669E+02  0.937698E+01 -0.331606E+01   -552.305   -461.643   -267.904     100
   101.00000 -0.155388E+02  0.968275E+01 -0.155440E+02  0.968275E+01 -0.338272E+01   -676.021   -519.045   -273.787     101
   102.00000 -0.155031E+02  0.999229E+01 -0.155084E+02  0.999229E+01 -0.344495E+01   -894.293   -599.790   -279.714     102
   103.00000 -0.154804E+02  0.103333E+02 -0.154865E+02  0.103333E+02 -0.350270E+01  -1170.701   -699.338   -285.691     103
   104.00000 -0.154503E+02  0.106746E+02 -0.154554E+02  0.106724E+02 -0.355595E+01  -2092.555   -876.757   -291.735     104
   105.00000 -0.154298E+02  0.110265E+02 -0.154293E+02  0.109936E+02 -0.360460E+01  -5110.043  -1190.669   -297.873     105
   106.00000 -0.154199E+02  0.113595E+02 -0.154174E+02  0.112628E+02 -0.364849E+01  -9015.903  -1646.930   -304.248     106
   107.00000 -0.154141E+02  0.117185E+02 -0.154117E+02  0.115121E+02 -0.368956E+01 -11907.798  -2115.754   -312.229     107
   108.00000 -0.154141E+02  0.118771E+02 -0.154117E+02  0.116229E+02 -0.372845E+01  -9576.789  -2481.724   -319.954     108
   109.00000 -0.154106E+02  0.122035E+02 -0.154081E+02  0.118219E+02 -0.376522E+01 -12364.671  -2667.697   -327.392     109
   110.00000 -0.154106E+02  0.125526E+02 -0.154081E+02  0.120122E+02 -0.379995E+01 -10600.670  -2935.351   -334.572     110
   111.00000 -0.153979E+02  0.128871E+02 -0.153955E+02  0.121793E+02 -0.383269E+01 -57489.254  -4129.955   -341.525     111
   112.00000 -0.153685E+02  0.132232E+02 -0.153897E+02  0.123329E+02 -0.386351E+01-100000.000  -5225.439   -348.257     112
   113.00000 -0.153639E+02  0.135900E+02 -0.153867E+02  0.124847E+02 -0.389246E+01-100000.000  -5542.148   -354.849     113
   114.00000 -0.153639E+02  0.137123E+02 -0.153867E+02  0.125375E+02 -0.391959E+01 -52871.613  -4980.822   -361.268     114
   115.00000 -0.155439E+02  0.139904E+02 -0.155668E+02  0.126802E+02 -0.394575E+01  -1050.065  -3189.059   -367.616     115
   116.00000 -0.155236E+02  0.143451E+02 -0.155456E+02  0.128732E+02 -0.396999E+01  -5512.178  -3606.474   -373.918     116
   117.00000 -0.155131E+02  0.147223E+02 -0.155339E+02  0.130262E+02 -0.399230E+01 -14345.399  -4340.912   -380.289     117
   118.00000 -0.154861E+02  0.151226E+02 -0.155183E+02  0.131506E+02 -0.401269E+01-100000.000  -6294.012   -387.555     118
   119.00000 -0.155161E+02  0.154692E+02 -0.155490E+02  0.132568E+02 -0.403223E+01  -3692.499  -4551.644   -395.699     119
   120.00000 -0.155161E+02  0.157877E+02 -0.155479E+02  0.133515E+02 -0.405086E+01  -6907.735  -4682.075   -403.145     120
   121.00000 -0.155161E+02  0.160698E+02 -0.155473E+02  0.134292E+02 -0.406862E+01  -7778.911  -4755.405   -410.210     121
   122.00000 -0.155161E+02  0.163928E+02 -0.155472E+02  0.135158E+02 -0.408567E+01  -7957.153  -4817.646   -417.025     122
   123.00000 -0.155161E+02  0.166628E+02 -0.155472E+02  0.135822E+02 -0.410184E+01  -8009.250  -4907.100   -423.538     123
   124.00000 -0.182861E+02  0.168001E+02 -0.183172E+02  0.136878E+02 -0.411767E+01   -142.657   -665.784   -429.974     124
   125.00000 -0.183561E+02  0.170633E+02 -0.183872E+02  0.139510E+02 -0.413278E+01   -331.717   -455.295   -436.183     125
   126.00000 -0.187061E+02  0.173864E+02 -0.187372E+02  0.142741E+02 -0.414723E+01   -311.686   -448.841   -442.217     126
   127.00000 -0.187061E+02  0.177998E+02 -0.187378E+02  0.146875E+02 -0.416102E+01   -511.765   -541.339   -448.075     127
   128.00000 -0.188961E+02  0.180772E+02 -0.189277E+02  0.149649E+02 -0.417422E+01   -446.682   -568.643   -453.736     128
   129.00000 -0.189861E+02  0.183145E+02 -0.190177E+02  0.152022E+02 -0.418683E+01   -527.291   -611.278   -459.105     129
   130.00000 -0.189861E+02  0.186591E+02 -0.190184E+02  0.155468E+02 -0.419884E+01   -764.667   -727.232   -464.051     130
   131.00000 -0.189861E+02  0.191199E+02 -0.190194E+02  0.160076E+02 -0.421030E+01  -1194.627   -965.280   -468.578     131
   132.00000 -0.204861E+02  0.193566E+02 -0.205193E+02  0.162443E+02 -0.422141E+01   -199.087   -521.954   -472.832     132
   133.00000 -0.204861E+02  0.197243E+02 -0.205197E+02  0.166120E+02 -0.423206E+01   -437.385   -529.258   -476.816     133
   134.00000 -0.204861E+02  0.202011E+02 -0.205206E+02  0.170888E+02 -0.424226E+01   -656.600   -662.725   -480.663     134
   135.00000 -0.221861E+02  0.202685E+02 -0.222205E+02  0.171562E+02 -0.425210E+01   -164.485   -341.910   -484.567     135
   136.00000 -0.221861E+02  0.204425E+02 -0.222209E+02  0.173302E+02 -0.426153E+01   -305.389   -344.050   -489.447     136
   137.00000 -0.224861E+02  0.207654E+02 -0.225209E+02  0.176531E+02 -0.427076E+01   -295.038   -365.402   -494.089     137
   138.00000 -0.224861E+02  0.211791E+02 -0.225215E+02  0.180668E+02 -0.427981E+01   -450.468   -446.438   -498.180     138
   139.00000 -0.224678E+02  0.215753E+02 -0.225031E+02  0.184630E+02 -0.428870E+01   -631.656   -553.983   -501.214     139
   140.00000 -0.232878E+02  0.219003E+02 -0.233230E+02  0.187880E+02 -0.429751E+01   -257.336   -442.702   -503.445     140
   141.00000 -0.232914E+02  0.223613E+02 -0.233266E+02  0.192490E+02 -0.430626E+01   -509.233   -530.724   -504.525     141
   142.00000 -0.233914E+02  0.227881E+02 -0.234266E+02  0.196758E+02 -0.431499E+01   -569.069   -627.124   -504.818     142
   143.00000 -0.236114E+02  0.230679E+02 -0.236466E+02  0.199556E+02 -0.432371E+01   -479.441   -640.417   -504.768     143
   144.00000 -0.235942E+02  0.235398E+02 -0.236306E+02  0.204275E+02 -0.433244E+01   -938.035   -823.295   -504.736     144
   145.00000 -0.235942E+02  0.240139E+02 -0.236305E+02  0.209003E+02 -0.434116E+01  -1595.638  -1168.252   -505.012     145
   146.00000 -0.235942E+02  0.245073E+02 -0.236289E+02  0.213409E+02 -0.434986E+01  -3377.418  -1940.034   -505.655     146
   147.00000 -0.238542E+02  0.248784E+02 -0.238889E+02  0.216523E+02 -0.435853E+01   -747.475  -2048.802   -506.643     147
   148.00000 -0.248642E+02  0.251587E+02 -0.248989E+02  0.219041E+02 -0.436715E+01   -276.820  -1127.790   -508.083     148
   149.00000 -0.271542E+02  0.254807E+02 -0.271889E+02  0.222244E+02 -0.437571E+01   -142.968   -386.120   -509.987     149
   150.00000 -0.277242E+02  0.256672E+02 -0.277589E+02  0.224109E+02 -0.438418E+01   -206.300   -281.125   -512.352     150
   151.00000 -0.276847E+02  0.261173E+02 -0.277210E+02  0.228610E+02 -0.439253E+01   -351.295   -355.111   -515.120     151
   152.00000 -0.276847E+02  0.265034E+02 -0.277205E+02  0.232471E+02 -0.440076E+01   -458.728   -439.639   -517.960     152
   153.00000 -0.276847E+02  0.267726E+02 -0.277190E+02  0.235163E+02 -0.440889E+01   -570.094   -518.940   -520.315     153
   154.00000 -0.276829E+02  0.272189E+02 -0.277217E+02  0.239626E+02 -0.441694E+01   -690.745   -598.162   -521.476     154
