

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   126.00000 -0.187061E+02  0.173864E+02 -0.187422E+02  0.138470E+02 -0.364639E+01   -237.452   -369.199   -365.490     126
   127.00000 -0.187061E+02  0.177999E+02 -0.187428E+02  0.142604E+02 -0.365926E+01   -427.987   -457.525   -370.593     127
   128.00000 -0.188961E+02  0.180772E+02 -0.189327E+02  0.145378E+02 -0.367148E+01   -359.937   -487.358   -375.632     128
   129.00000 -0.189861E+02  0.183145E+02 -0.190227E+02  0.147751E+02 -0.368303E+01   -436.326   -530.927   -380.605     129
   130.00000 -0.189861E+02  0.186591E+02 -0.190234E+02  0.151197E+02 -0.369385E+01   -685.332   -652.190   -385.727     130
   131.00000 -0.189861E+02  0.191199E+02 -0.190244E+02  0.155805E+02 -0.370421E+01  -1143.572   -905.905   -391.362     131
   132.00000 -0.204861E+02  0.193566E+02 -0.205243E+02  0.158172E+02 -0.371437E+01   -139.354   -455.290   -396.387     132
   133.00000 -0.204861E+02  0.197243E+02 -0.205247E+02  0.161849E+02 -0.372426E+01   -353.954   -452.150   -400.858     133
   134.00000 -0.204861E+02  0.202012E+02 -0.205256E+02  0.166617E+02 -0.373391E+01   -571.467   -583.869   -404.973     134
   135.00000 -0.221861E+02  0.202685E+02 -0.222255E+02  0.167290E+02 -0.374337E+01   -112.412   -271.411   -408.900     135
   136.00000 -0.221861E+02  0.204425E+02 -0.222258E+02  0.169030E+02 -0.375261E+01   -237.289   -269.773   -412.660     136
   137.00000 -0.224861E+02  0.207655E+02 -0.225258E+02  0.172260E+02 -0.376167E+01   -225.268   -289.874   -416.289     137
   138.00000 -0.224861E+02  0.211791E+02 -0.225264E+02  0.176396E+02 -0.377052E+01   -370.179   -366.175   -419.700     138
   139.00000 -0.224678E+02  0.215753E+02 -0.225080E+02  0.180358E+02 -0.377919E+01   -556.641   -475.213   -422.511     139
   140.00000 -0.232878E+02  0.219003E+02 -0.233280E+02  0.183608E+02 -0.378775E+01   -190.573   -366.651   -424.814     140
   141.00000 -0.232914E+02  0.223613E+02 -0.233315E+02  0.188218E+02 -0.379622E+01   -429.567   -451.556   -426.256     141
   142.00000 -0.233914E+02  0.227881E+02 -0.234315E+02  0.192486E+02 -0.380463E+01   -483.052   -550.081   -426.979     142
   143.00000 -0.236114E+02  0.230680E+02 -0.236515E+02  0.195285E+02 -0.381302E+01   -392.409   -565.375   -427.257     143
   144.00000 -0.235942E+02  0.235399E+02 -0.236355E+02  0.200004E+02 -0.382140E+01   -864.451   -758.780   -427.373     144
   145.00000 -0.235942E+02  0.240139E+02 -0.236354E+02  0.204728E+02 -0.382977E+01  -1596.618  -1149.015   -427.586     145
   146.00000 -0.235942E+02  0.245073E+02 -0.236333E+02  0.208971E+02 -0.383812E+01  -3661.537  -2075.345   -428.003     146
   147.00000 -0.238542E+02  0.248784E+02 -0.238933E+02  0.211939E+02 -0.384644E+01   -627.711  -2221.633   -428.633     147
   148.00000 -0.248642E+02  0.251587E+02 -0.249033E+02  0.214366E+02 -0.385473E+01   -204.651  -1166.801   -429.573     148
   149.00000 -0.271542E+02  0.254807E+02 -0.271933E+02  0.217557E+02 -0.386296E+01    -95.457   -319.609   -430.854     149
   150.00000 -0.277242E+02  0.256672E+02 -0.277633E+02  0.219422E+02 -0.387110E+01   -147.907   -210.991   -432.492     150
   151.00000 -0.276847E+02  0.261173E+02 -0.277254E+02  0.223923E+02 -0.387914E+01   -279.230   -279.910   -434.475     151
   152.00000 -0.276847E+02  0.265034E+02 -0.277249E+02  0.227784E+02 -0.388706E+01   -381.305   -360.868   -436.664     152
   153.00000 -0.276847E+02  0.267727E+02 -0.277234E+02  0.230477E+02 -0.389486E+01   -493.632   -439.912   -438.663     153
   154.00000 -0.276829E+02  0.272189E+02 -0.277239E+02  0.234939E+02 -0.390258E+01   -685.587   -555.432   -440.072     154
   155.00000 -0.278629E+02  0.274986E+02 -0.279038E+02  0.237736E+02 -0.391025E+01   -459.660   -577.793   -440.838     155
   156.00000 -0.307129E+02  0.277126E+02 -0.307538E+02  0.239876E+02 -0.391790E+01    -78.374   -162.570   -440.842     156
   157.00000 -0.308629E+02  0.279727E+02 -0.309038E+02  0.242477E+02 -0.392558E+01   -170.203   -186.272   -440.251     157
   158.00000 -0.308729E+02  0.282732E+02 -0.309138E+02  0.245482E+02 -0.393329E+01   -238.484   -234.826   -439.373     158
   159.00000 -0.310729E+02  0.286783E+02 -0.311139E+02  0.249533E+02 -0.394108E+01   -246.728   -271.152   -437.702     159
   160.00000 -0.310555E+02  0.291747E+02 -0.310971E+02  0.254497E+02 -0.394903E+01   -405.211   -354.890   -433.508     160
   161.00000 -0.310555E+02  0.296152E+02 -0.310966E+02  0.258903E+02 -0.395738E+01   -576.578   -461.762   -426.060     161
   162.00000 -0.310555E+02  0.300487E+02 -0.310965E+02  0.263237E+02 -0.396617E+01   -859.062   -608.842   -417.333     162
   163.00000 -0.319255E+02  0.304397E+02 -0.319665E+02  0.267147E+02 -0.397535E+01   -203.585   -436.323   -408.350     163
   164.00000 -0.319026E+02  0.309479E+02 -0.319439E+02  0.272229E+02 -0.398501E+01   -546.784   -547.596   -400.422     164
   165.00000 -0.319026E+02  0.314572E+02 -0.319439E+02  0.277322E+02 -0.399505E+01   -958.220   -777.798   -394.282     165
   166.00000 -0.319026E+02  0.319647E+02 -0.319435E+02  0.282317E+02 -0.400538E+01  -1979.139  -1252.115   -390.038     166
   167.00000 -0.319426E+02  0.324591E+02 -0.319834E+02  0.286692E+02 -0.401584E+01  -1951.602  -2076.501   -387.129     167
   168.00000 -0.319426E+02  0.329748E+02 -0.319817E+02  0.289885E+02 -0.402642E+01  -5568.528  -3524.561   -385.733     168
   169.00000 -0.319926E+02  0.334058E+02 -0.320320E+02  0.291857E+02 -0.403704E+01  -2252.689  -3922.353   -385.559     169
   170.00000 -0.319926E+02  0.338934E+02 -0.320305E+02  0.293588E+02 -0.404761E+01  -6151.103  -4547.678   -386.709     170
   171.00000 -0.319926E+02  0.344130E+02 -0.320289E+02  0.294830E+02 -0.405808E+01  -7994.623  -5010.942   -388.851     171
   172.00000 -0.319926E+02  0.349333E+02 -0.320289E+02  0.295924E+02 -0.406841E+01  -8021.956  -5201.544   -391.592     172
   173.00000 -0.319926E+02  0.354019E+02 -0.320289E+02  0.296689E+02 -0.407852E+01  -8012.601  -5420.632   -394.903     173
   174.00000 -0.323025E+02  0.356603E+02 -0.323389E+02  0.297588E+02 -0.408854E+01   -576.743  -4108.863   -398.364     174
   175.00000 -0.323025E+02  0.361675E+02 -0.323392E+02  0.299901E+02 -0.409835E+01  -2193.382  -4382.897   -402.163     175
   176.00000 -0.323025E+02  0.367037E+02 -0.323371E+02  0.301504E+02 -0.410793E+01  -5420.878  -5242.480   -406.190     176
   177.00000 -0.323225E+02  0.369271E+02 -0.323572E+02  0.302044E+02 -0.411731E+01  -3245.014  -5215.622   -410.353     177
   178.00000 -0.329426E+02  0.371235E+02 -0.329772E+02  0.302896E+02 -0.412648E+01   -321.625  -3481.539   -414.621     178
   179.00000 -0.334126E+02  0.375167E+02 -0.334473E+02  0.305575E+02 -0.413541E+01   -314.781  -2681.304   -418.967     179
   180.00000 -0.334126E+02  0.379056E+02 -0.334473E+02  0.308621E+02 -0.414409E+01   -809.040  -2614.958   -423.359     180
   181.00000 -0.340826E+02  0.383031E+02 -0.341173E+02  0.311767E+02 -0.415255E+01   -262.505  -2404.992   -427.769     181
   182.00000 -0.340826E+02  0.388323E+02 -0.341176E+02  0.316094E+02 -0.416077E+01   -790.353  -2556.843   -432.183     182
   183.00000 -0.340826E+02  0.392127E+02 -0.341167E+02  0.319040E+02 -0.416874E+01  -1501.949  -3105.424   -436.585     183
   184.00000 -0.342725E+02  0.396687E+02 -0.343067E+02  0.322079E+02 -0.417649E+01   -704.965  -3763.818   -440.970     184
   185.00000 -0.368825E+02  0.397158E+02 -0.369166E+02  0.322450E+02 -0.418402E+01    -93.886   -818.463   -445.330     185
   186.00000 -0.369125E+02  0.401029E+02 -0.369467E+02  0.326315E+02 -0.419132E+01   -280.931   -427.506   -449.664     186
   187.00000 -0.369125E+02  0.404345E+02 -0.369464E+02  0.329631E+02 -0.419836E+01   -426.670   -497.964   -453.971     187
   188.00000 -0.369725E+02  0.408728E+02 -0.370065E+02  0.334015E+02 -0.420518E+01   -546.910   -641.084   -458.259     188
   189.00000 -0.370025E+02  0.413149E+02 -0.370365E+02  0.338435E+02 -0.421178E+01   -841.209   -876.025   -462.525     189
   190.00000 -0.388926E+02  0.417378E+02 -0.389265E+02  0.342664E+02 -0.421816E+01   -118.969   -458.807   -466.769     190
   191.00000 -0.411625E+02  0.419779E+02 -0.411961E+02  0.345065E+02 -0.422431E+01    -83.127   -145.733   -470.975     191
   192.00000 -0.411625E+02  0.423430E+02 -0.411963E+02  0.348716E+02 -0.423023E+01   -193.059   -200.288   -475.119     192
   193.00000 -0.412400E+02  0.427344E+02 -0.412738E+02  0.352630E+02 -0.423593E+01   -248.729   -256.568   -479.185     193
   194.00000 -0.412400E+02  0.431956E+02 -0.412742E+02  0.357242E+02 -0.424140E+01   -363.849   -334.429   -482.822     194
   195.00000 -0.412258E+02  0.437247E+02 -0.412606E+02  0.362533E+02 -0.424673E+01   -570.164   -455.954   -484.991     195
   196.00000 -0.412258E+02  0.442861E+02 -0.412610E+02  0.368147E+02 -0.425201E+01   -954.549   -660.656   -485.325     196
   197.00000 -0.412140E+02  0.448650E+02 -0.412409E+02  0.372566E+02 -0.425739E+01  -2632.595  -1132.966   -483.522     197
   198.00000 -0.412140E+02  0.454305E+02 -0.412383E+02  0.375852E+02 -0.426293E+01  -4016.692  -1826.684   -480.514     198
   199.00000 -0.412081E+02  0.459920E+02 -0.412294E+02  0.378325E+02 -0.426867E+01  -7807.370  -2693.167   -476.882     199
   200.00000 -0.412026E+02  0.465274E+02 -0.412238E+02  0.380213E+02 -0.427460E+01 -11618.581  -3518.926   -473.196     200
   201.00000 -0.412026E+02  0.471003E+02 -0.412238E+02  0.381820E+02 -0.428070E+01  -9436.277  -4056.718   -469.964     201
   202.00000 -0.412026E+02  0.476341E+02 -0.412238E+02  0.383105E+02 -0.428695E+01  -9243.202  -4548.169   -467.226     202
   203.00000 -0.412026E+02  0.481503E+02 -0.412238E+02  0.384184E+02 -0.429331E+01  -8764.582  -4872.862   -465.355     203
   204.00000 -0.412026E+02  0.486353E+02 -0.412238E+02  0.385094E+02 -0.429973E+01  -8569.185  -5137.361   -464.098     204
